"";"PROBEID";"SYMBOL";"ENTREZID";"GENENAME";"GO";"EVIDENCE";"ONTOLOGY";"GOID";"TERM"
"1";"213413_at";"STON1";"11037";"stonin 1";"GO:0008021";"IBA";"CC";"GO:0008021";"synaptic vesicle"
"2";"213413_at";"STON1";"11037";"stonin 1";"GO:0016020";"IEA";"CC";"GO:0016020";"membrane"
"3";"213413_at";"STON1";"11037";"stonin 1";"GO:0016192";"IBA";"BP";"GO:0016192";"vesicle-mediated transport"
"4";"213413_at";"STON1";"11037";"stonin 1";"GO:0030100";"IBA";"BP";"GO:0030100";"regulation of endocytosis"
"5";"213413_at";"STON1";"11037";"stonin 1";"GO:0030100";"IDA";"BP";"GO:0030100";"regulation of endocytosis"
"6";"213413_at";"STON1";"11037";"stonin 1";"GO:0030136";"IBA";"CC";"GO:0030136";"clathrin-coated vesicle"
"7";"213413_at";"STON1";"11037";"stonin 1";"GO:0031410";"IBA";"CC";"GO:0031410";"cytoplasmic vesicle"
"8";"213413_at";"STON1";"11037";"stonin 1";"GO:0035615";"IBA";"MF";"GO:0035615";"clathrin adaptor activity"
"9";"213413_at";"STON1";"11037";"stonin 1";"GO:0048488";"IBA";"BP";"GO:0048488";"synaptic vesicle endocytosis"
"10";"213375_s_at";"N4BP2L1";"90634";"NEDD4 binding protein 2 like 1";NA;NA;NA;NA;NA
"11";"211427_s_at";"KCNJ13";"3769";"potassium inwardly rectifying channel subfamily J member 13";"GO:0005242";"IBA";"MF";"GO:0005242";"inward rectifier potassium channel activity"
"12";"211427_s_at";"KCNJ13";"3769";"potassium inwardly rectifying channel subfamily J member 13";"GO:0005242";"NAS";"MF";"GO:0005242";"inward rectifier potassium channel activity"
"13";"211427_s_at";"KCNJ13";"3769";"potassium inwardly rectifying channel subfamily J member 13";"GO:0005886";"IBA";"CC";"GO:0005886";"plasma membrane"
"14";"211427_s_at";"KCNJ13";"3769";"potassium inwardly rectifying channel subfamily J member 13";"GO:0006813";"NAS";"BP";"GO:0006813";"potassium ion transport"
"15";"211427_s_at";"KCNJ13";"3769";"potassium inwardly rectifying channel subfamily J member 13";"GO:0016021";"IEA";"CC";"GO:0016021";"integral component of membrane"
"16";"211427_s_at";"KCNJ13";"3769";"potassium inwardly rectifying channel subfamily J member 13";"GO:0034765";"IBA";"BP";"GO:0034765";"regulation of ion transmembrane transport"
"17";"211427_s_at";"KCNJ13";"3769";"potassium inwardly rectifying channel subfamily J member 13";"GO:1990573";"IBA";"BP";"GO:1990573";"potassium ion import across plasma membrane"
"18";"219274_at";"TSPAN12";"23554";"tetraspanin 12";"GO:0001525";"IEA";"BP";"GO:0001525";"angiogenesis"
"19";"219274_at";"TSPAN12";"23554";"tetraspanin 12";"GO:0005515";"IPI";"MF";"GO:0005515";"protein binding"
"20";"219274_at";"TSPAN12";"23554";"tetraspanin 12";"GO:0005887";"IBA";"CC";"GO:0005887";"integral component of plasma membrane"
"21";"219274_at";"TSPAN12";"23554";"tetraspanin 12";"GO:0005887";"ISS";"CC";"GO:0005887";"integral component of plasma membrane"
"22";"219274_at";"TSPAN12";"23554";"tetraspanin 12";"GO:0007166";"ISS";"BP";"GO:0007166";"cell surface receptor signaling pathway"
"23";"219274_at";"TSPAN12";"23554";"tetraspanin 12";"GO:0010842";"ISS";"BP";"GO:0010842";"retina layer formation"
"24";"219274_at";"TSPAN12";"23554";"tetraspanin 12";"GO:0016020";"TAS";"CC";"GO:0016020";"membrane"
"25";"219274_at";"TSPAN12";"23554";"tetraspanin 12";"GO:0016021";"TAS";"CC";"GO:0016021";"integral component of membrane"
"26";"219274_at";"TSPAN12";"23554";"tetraspanin 12";"GO:0045765";"ISS";"BP";"GO:0045765";"regulation of angiogenesis"
"27";"219274_at";"TSPAN12";"23554";"tetraspanin 12";"GO:1900746";"IBA";"BP";"GO:1900746";"regulation of vascular endothelial growth factor signaling pathway"
"28";"209102_s_at";"HBP1";"26959";"HMG-box transcription factor 1";"GO:0000785";"ISA";"CC";"GO:0000785";"chromatin"
"29";"209102_s_at";"HBP1";"26959";"HMG-box transcription factor 1";"GO:0000978";"IBA";"MF";"GO:0000978";"RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"30";"209102_s_at";"HBP1";"26959";"HMG-box transcription factor 1";"GO:0000981";"IBA";"MF";"GO:0000981";"DNA-binding transcription factor activity, RNA polymerase II-specific"
"31";"209102_s_at";"HBP1";"26959";"HMG-box transcription factor 1";"GO:0000981";"ISA";"MF";"GO:0000981";"DNA-binding transcription factor activity, RNA polymerase II-specific"
"32";"209102_s_at";"HBP1";"26959";"HMG-box transcription factor 1";"GO:0003723";"IEA";"MF";"GO:0003723";"RNA binding"
"33";"209102_s_at";"HBP1";"26959";"HMG-box transcription factor 1";"GO:0005515";"IPI";"MF";"GO:0005515";"protein binding"
"34";"209102_s_at";"HBP1";"26959";"HMG-box transcription factor 1";"GO:0005634";"IBA";"CC";"GO:0005634";"nucleus"
"35";"209102_s_at";"HBP1";"26959";"HMG-box transcription factor 1";"GO:0005654";"IDA";"CC";"GO:0005654";"nucleoplasm"
"36";"209102_s_at";"HBP1";"26959";"HMG-box transcription factor 1";"GO:0006357";"IBA";"BP";"GO:0006357";"regulation of transcription by RNA polymerase II"
"37";"209102_s_at";"HBP1";"26959";"HMG-box transcription factor 1";"GO:0016055";"IEA";"BP";"GO:0016055";"Wnt signaling pathway"
"38";"209102_s_at";"HBP1";"26959";"HMG-box transcription factor 1";"GO:0016607";"IDA";"CC";"GO:0016607";"nuclear speck"
"39";"209102_s_at";"HBP1";"26959";"HMG-box transcription factor 1";"GO:0051726";"NAS";"BP";"GO:0051726";"regulation of cell cycle"
"40";"201427_s_at";"SELENOP";"6414";"selenoprotein P";"GO:0001887";"IBA";"BP";"GO:0001887";"selenium compound metabolic process"
"41";"201427_s_at";"SELENOP";"6414";"selenoprotein P";"GO:0005576";"IBA";"CC";"GO:0005576";"extracellular region"
"42";"201427_s_at";"SELENOP";"6414";"selenoprotein P";"GO:0005576";"NAS";"CC";"GO:0005576";"extracellular region"
"43";"201427_s_at";"SELENOP";"6414";"selenoprotein P";"GO:0005576";"TAS";"CC";"GO:0005576";"extracellular region"
"44";"201427_s_at";"SELENOP";"6414";"selenoprotein P";"GO:0006979";"TAS";"BP";"GO:0006979";"response to oxidative stress"
"45";"201427_s_at";"SELENOP";"6414";"selenoprotein P";"GO:0007420";"IEA";"BP";"GO:0007420";"brain development"
"46";"201427_s_at";"SELENOP";"6414";"selenoprotein P";"GO:0007626";"IEA";"BP";"GO:0007626";"locomotory behavior"
"47";"201427_s_at";"SELENOP";"6414";"selenoprotein P";"GO:0008430";"IBA";"MF";"GO:0008430";"selenium binding"
"48";"201427_s_at";"SELENOP";"6414";"selenoprotein P";"GO:0009791";"IEA";"BP";"GO:0009791";"post-embryonic development"
"49";"201427_s_at";"SELENOP";"6414";"selenoprotein P";"GO:0019953";"IEA";"BP";"GO:0019953";"sexual reproduction"
